School_Name,ODE_Institution_ID,Charter,Site_Address_Line1,Site_City,Site_State,Site_Zipcode,District_Name,District_Institution_ID,County_Name,County_FIPS_Code,Longitude,Latitude,Total_Enrollment,Total_AmIndian,Percent_AmIndian,Total_Asian,Percent_Asian,Total_HawaiiPI,Percent_HawaiiPI,Total_Black,Percent_Black,Total_Latino,Percent_Latino,Total_White,Percent_White,Total_MultiRacial,Percent_MultiRacial,Total_Blk_Latino,Perc_Blk_Lat,Seg,pop_proport,Seg_proport,SCI
Errol Hassell Elementary School,1161,NonCharter,18100 SW Bany Rd,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8631889,45.46627183,355.00,1.00,0.00,37.00,0.10,0.00,0.00,18.00,0.05,99.00,0.28,161.00,0.45,39.00,0.10986,117.00,0.33,0.001,0.740667644,0.003063325,0.002268905
Findley Elementary,1370,NonCharter,4155 NW Saltzman Rd,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8115159,45.54979685,527.00,2.00,0.00,281.00,0.53,1.00,0.00,11.00,0.02,34.00,0.06,156.00,0.30,42.00,0.0797,45.00,0.09,0.015,1.099526334,0.03828832,0.042099016
Fir Grove Elementary School,1163,NonCharter,6300 SW Wilson Ave,Beaverton,OR,97008,Beaverton SD 48J,2243,WASHINGTON,67,-122.8181794,45.47376717,362.00,3.00,0.01,21.00,0.06,5.00,0.01,7.00,0.02,110.00,0.30,178.00,0.49,38.00,0.10497,117.00,0.32,0.001,0.755272358,0.002355788,0.001779262
FLEX Online School,5506,NonCharter,13840 NW Cornell Rd,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8200251,45.52792831,555.00,4.00,0.01,54.00,0.10,12.00,0.02,15.00,0.03,170.00,0.31,234.00,0.42,66.00,0.11892,185.00,0.33,0.002,1.15794519,0.005483006,0.006349021
Greenway Elementary School,1157,NonCharter,9150 SW Downing Dr,Beaverton,OR,97008,Beaverton SD 48J,2243,WASHINGTON,67,-122.8019862,45.45368166,277.00,1.00,0.00,9.00,0.03,3.00,0.01,16.00,0.06,106.00,0.38,116.00,0.42,26.00,0.09386,122.00,0.44,0.005,0.577929401,0.012611637,0.007288636
Hazeldale Elementary School,1164,NonCharter,20080 SW Farmington Rd,Aloha,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8831561,45.46928262,429.00,2.00,0.00,42.00,0.10,10.00,0.02,20.00,0.05,147.00,0.34,173.00,0.40,35.00,0.08159,167.00,0.39,0.005,0.895060336,0.012227039,0.010943938
Hiteon Elementary School,1165,NonCharter,13800 SW Brockman Rd,Beaverton,OR,97008,Beaverton SD 48J,2243,WASHINGTON,67,-122.8192953,45.45398377,488.00,1.00,0.00,36.00,0.07,10.00,0.02,12.00,0.02,73.00,0.15,296.00,0.61,60.00,0.12295,85.00,0.17,0.008,1.018157212,0.021031627,0.021413503
Hope Chinese Charter School,4867,Charter,3500 SW 104th Ave,Beaverton,OR,97005,Beaverton SD 48J,2243,WASHINGTON,67,-122.7839049,45.4946171,366.00,0.00,0.00,154.00,0.42,0.00,0.00,7.00,0.02,22.00,0.06,64.00,0.17,119.00,0.32514,29.00,0.08,0.011,0.763617909,0.027340871,0.020877979
Jacob Wismer Elementary School,3437,NonCharter,5477 NW Skycrest Pkwy,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.823217,45.56032035,591.00,6.00,0.01,362.00,0.61,0.00,0.00,13.00,0.02,45.00,0.08,129.00,0.22,36.00,0.06091,58.00,0.10,0.016,1.233055148,0.040429942,0.049852349
Kinnaman Elementary School,1166,NonCharter,4205 SW 193rd Ave,Beaverton,OR,97078,Beaverton SD 48J,2243,WASHINGTON,67,-122.8762955,45.48953844,489.00,3.00,0.01,38.00,0.08,3.00,0.01,26.00,0.05,198.00,0.40,183.00,0.37,38.00,0.07771,224.00,0.46,0.010,1.0202436,0.0251359,0.025644741
McKay Elementary School,1168,NonCharter,7485 SW Scholls Ferry Rd,Beaverton,OR,97008,Beaverton SD 48J,2243,WASHINGTON,67,-122.7787676,45.4653472,260.00,0.00,0.00,12.00,0.05,6.00,0.02,16.00,0.06,83.00,0.32,122.00,0.47,21.00,0.08077,99.00,0.38,0.003,0.54246081,0.006673983,0.003620374
McKinley Elementary School,1169,NonCharter,1500 NW 185th Ave,Beaverton,OR,97006,Beaverton SD 48J,2243,WASHINGTON,67,-122.8666829,45.53021514,650.00,3.00,0.00,66.00,0.10,12.00,0.02,67.00,0.10,256.00,0.39,190.00,0.29,56.00,0.08615,323.00,0.50,0.017,1.356152024,0.041816466,0.056709484
